id,regno,site,class,construction,year,place,Al_K12,Ar_K12,As_K12,As_L1,Ba_K12,Ba_L1,Br_K12,Br_L1,Ca_K12,Cd_K12,Cd_L1,Cl_K12,Cr_K12,Cu_K12,Fe_K12,Ga_K12,Ga_L1,In_K12,In_L1,K_K12,Mn_K12,Ni_K12,P_K12,Pb_L1,Pb_M1,Pd_K12,Pd_L1,Rb_K12,Rb_L1,Rh_K12,Rh_L1,S_K12,Sc_K12,Si_K12,Sn_K12,Sn_L1,Sr_K12,Sr_L1,Ti_K12,V_K12,Y_K12,Y_L1,Zn_K12,Zr_K12,Zr_L1
196,RP3113,RP,Colonial,Wooden,1811,Rim,398,1,0,152,968,198,281,1,114700,267,1,265,117,2330,109009,53,818,108,433,3715,6124,139,1,6136,0,29749,20,1617,201,37124,0,34,551,4305,755,1,72658,41,1190,85,1014,14,1827,19492,1
195,RP3113,RP,Colonial,Wooden,1811,Neck2,652,1,187,230,1150,195,248,1,132089,433,0,381,147,2378,126080,0,918,200,450,4335,7084,250,27,7091,0,35041,341,2425,418,43850,1,204,480,4577,958,194,87796,219,1354,104,1418,31,1909,23961,44
194,RP3113,RP,Colonial,Wooden,1811,Neck,17,1,252,177,671,77,491,354,157439,257,0,259,235,2697,148836,31,1048,278,255,5433,8295,338,1,7725,0,39312,168,2776,600,51883,27,108,1013,5852,1139,364,101797,23,1645,223,1610,72,2203,27414,7
193,RP3113,RP,Colonial,Wooden,1811,SideNearBottom2,438,1,65,285,1071,236,313,1,161910,81,0,379,167,2813,154146,56,1118,0,587,5419,8911,273,1,8061,0,39682,366,2586,151,51714,1,197,594,6270,744,204,104070,1,1629,157,1110,1,2345,27992,48
192,RP3113,RP,Colonial,Wooden,1811,Side4,514,1,0,215,888,40,562,1,156331,278,0,356,130,2835,146805,90,1089,200,737,5027,8271,317,146,8051,0,37479,134,2475,172,48590,0,175,679,5896,1561,107,98359,102,1654,248,1629,17,2184,27087,1
191,RP3113,RP,Colonial,Wooden,1811,Side3,504,21,0,201,1117,0,476,1,153581,332,-2,207,178,2561,145203,85,982,307,383,5141,8161,237,1,8077,1,35754,191,2459,126,47685,0,156,539,5802,1469,208,97267,63,1772,140,1373,136,2051,26389,33
190,RP3113,RP,Colonial,Wooden,1811,SideNearBottom,642,1,368,279,1077,187,300,1,155635,0,2,278,160,2937,150292,0,1072,55,465,5312,8222,303,1,8046,0,39389,100,2328,275,51068,0,45,440,5677,1278,20,100768,77,1627,208,1754,1,2387,27491,56
189,RP3113,RP,Colonial,Wooden,1811,Side2,495,1,611,169,848,260,283,1,154912,279,-1,315,241,3100,150677,43,1014,225,794,5215,8585,253,18,7744,1,37943,274,2446,39,48896,1,165,513,5927,2106,47,98344,144,1694,65,1847,13,2548,27096,0
188,RP3113,RP,Colonial,Wooden,1811,Side1,522,15,426,220,1109,211,297,11,151808,342,0,299,253,2768,145729,87,860,139,460,5351,8186,327,107,7800,0,34922,228,2484,77,47420,1,114,616,5838,1239,276,97069,1,1445,128,1049,1,2331,25751,1
187,ZT3380,ZT,Dutch,Wooden,1712,InsideBase,646,1,256,246,1984,228,188,1,100988,202,0,385,228,5585,142153,148,1021,177,1,6465,15573,192,2,10814,143,40133,203,4038,139,48923,0,339,611,5614,1487,84,87652,1,3813,205,1445,87,9551,25335,0
120,ZT3380,ZT,Dutch,Wooden,1712,OutsideBase,622,15,272,259,1409,-1,345,1,28207,286,0,1,275,5531,1255627,33,1048,86,1,745,21029,285,132,5886,1,34998,518,2810,1,40600,1,512,1,2712,1033,0,66267,1,4670,181,1531,3,12842,23978,1
160,GT4055,GT,Dutch,Wooden,1656,Side,508,1,31798,202,4539,1695,236,1,109456,247,0,1,1,3141,54010,0,944,147,789,30686,52668,1944,1,5495,2,35776,217,21095,271,46345,1,283,338,5971,1162,142,96634,1,779,315,1241,0,11183,14571,256
158,GT4055,GT,Dutch,Wooden,1656,Cross,402,1,30038,240,4442,1641,1,1,108125,232,0,2,1,3678,54506,0,939,140,435,30784,52873,1898,183,8148,95,37127,149,21300,241,47739,0,292,256,5685,831,53,96451,1,834,255,482,1,11364,13533,1
186,ZT1350,ZT,Dutch,Wooden,1712,Inside,501,1,3984,243,1138,187,1,1,57266,495,0,7,8548,1673,9493,48,1273,209,205,3918,5848,4487,1,2559,0,51932,413,3195,350,53716,0,94,92,6351,1360,42,18765,87,1958,61,1375,2,1037,27312,-3
115,ZT1350,ZT,Dutch,Wooden,1712,InsideSide,523,1,3729,307,905,264,1,1,57976,443,0,63,8230,1979,10937,47,1262,76,15,3787,5754,4590,10,2909,0,51886,312,3596,281,52125,0,82,1,5620,1647,26,19084,1,16312,100,1570,24,1240,26772,1
185,GT4098,GT,Dutch,Wooden,1656,Side,697,1,548,169,2406,1010,32,1,94154,297,0,1,55,3505,82420,0,977,327,650,15854,24286,339,1,9344,143,37501,142,14483,351,48186,0,120,512,5640,1557,3,82743,1,2413,419,2138,1,5313,30558,22
127,GT4098,GT,Dutch,Wooden,1656,Side,580,1,168,201,2284,1030,48,1,89511,105,0,39,1,3337,79660,40,970,77,174,15625,23347,334,69,8794,107,36382,201,14342,594,46508,0,227,136,5185,1398,144,79256,1,2398,289,1273,1,5282,29786,-13
